product_id	category_id
1200	4000
1300	4000
1400	4100
1500	4100
1600	4100
1700	4200
1800	4200
1900	4300
2000	4300
2100	4400
2200	4400
2300	4500
2400	4500
2500	4600
2600	4600
2100	4400
2200	4400
2300	4500
2400	4500
2500	4600
2600	4600
2700	4000
2800	4000
2900	4100
3000	4100
3100	4200
3200	4200
3300	4000
3400	4000
3500	4600
3600	4600
3700	4600
3800	4600
3900	4600
4000	6200
4100	6200
4200	6400
4300	6500
4400	6600
4500	6600
4600	6700
4700	6800
4800	6900
4900	7000
5000	7100
5100	7200
5200	7300
5300	7400
5400	7500
5500	7700
5600	7900
5700	8000
5800	8100
5900	8300
6000	8400
6100	8500
6200	8600
6300	8700
6400	8800
6500	8900
6600	9000
6700	5500
6800	5600
6900	5700
7000	5800
7100	5900
7200	6000
7300	6100
7400	6200
7500	6300
